"Year","ID","Name","Poverty Universe","Number in Poverty","90% Confidence Interval","Percent in Poverty","90% Confidence Interval"
"2017","06017","El Dorado County","187695","15620","12,971 to 18,269","8.3","6.9 to 9.7"
"2017","06019","Fresno County","972367","205046","192,640 to 217,452","21.1","19.8 to 22.4"
"2017","06021","Glenn County","27743","4111","3,255 to 4,967","14.8","11.7 to 17.9"
"2017","06023","Humboldt County","133150","26262","22,440 to 30,084","19.7","16.8 to 22.6"
"2017","06025","Imperial County","173506","35830","31,261 to 40,399","20.7","18.1 to 23.3"
"2017","06027","Inyo County","17696","2087","1,589 to 2,585","11.8","9.0 to 14.6"
"2017","06029","Kern County","861002","182948","171,072 to 194,824","21.2","19.8 to 22.6"
"2017","06031","Kings County","134707","24810","21,366 to 28,254","18.4","15.8 to 21.0"
"2017","06033","Lake County","63300","12817","10,736 to 14,898","20.2","16.9 to 23.5"
"2017","06035","Lassen County","23317","3790","2,934 to 4,646","16.3","12.6 to 20.0"
"2017","06037","Los Angeles County","10007071","1490853","1,454,153 to 1,527,553","14.9","14.5 to 15.3"
"2017","06039","Madera County","148973","31569","27,218 to 35,920","21.2","18.3 to 24.1"
"2017","06041","Marin County","254370","20222","17,808 to 22,636","7.9","7.0 to 8.8"
"2017","06043","Mariposa County","17368","2641","2,130 to 3,152","15.2","12.3 to 18.1"
"2017","06045","Mendocino County","86741","14156","11,702 to 16,610","16.3","13.5 to 19.1"
"2017","06047","Merced County","266552","61297","56,255 to 66,339","23","21.1 to 24.9"
"2017","06049","Modoc County","8637","1658","1,282 to 2,034","19.2","14.8 to 23.6"
"2017","06051","Mono County","14066","1313","994 to 1,632","9.3","7.0 to 11.6"
"2017","06053","Monterey County","419435","49860","43,546 to 56,174","11.9","10.4 to 13.4"
"2017","06055","Napa County","136679","9301","7,460 to 11,142","6.8","5.5 to 8.1"
"2017","06057","Nevada County","98883","10889","9,162 to 12,616","11","9.3 to 12.7"
"2017","06059","Orange County","3148278","362109","344,751 to 379,467","11.5","10.9 to 12.1"
"2017","06061","Placer County","383174","29873","26,624 to 33,122","7.8","7.0 to 8.6"
"2017","06063","Plumas County","18419","2640","2,105 to 3,175","14.3","11.4 to 17.2"
"2017","06065","Riverside County","2388862","309235","292,034 to 326,436","12.9","12.2 to 13.6"
"2017","06067","Sacramento County","1511229","213232","200,490 to 225,974","14.1","13.3 to 14.9"
"2017","06069","San Benito County","60015","5029","3,786 to 6,272","8.4","6.3 to 10.5"
"2017","06071","San Bernardino County","2118139","339748","320,900 to 358,596","16","15.1 to 16.9"
"2017","06073","San Diego County","3243699","385479","366,449 to 404,509","11.9","11.3 to 12.5"
"2017","06075","San Francisco County","868690","87314","79,689 to 94,939","10.1","9.2 to 11.0"
"2017","06077","San Joaquin County","731380","113375","102,366 to 124,384","15.5","14.0 to 17.0"
"2017","06079","San Luis Obispo County","268401","31826","27,789 to 35,863","11.9","10.4 to 13.4"
"2017","06081","San Mateo County","765157","48795","42,272 to 55,318","6.4","5.5 to 7.3"
"2017","06083","Santa Barbara County","429288","60921","55,050 to 66,792","14.2","12.8 to 15.6"
"2017","06085","Santa Clara County","1911659","142603","130,922 to 154,284","7.5","6.9 to 8.1"
"2017","06087","Santa Cruz County","264046","33262","28,841 to 37,683","12.6","10.9 to 14.3"
"2017","06089","Shasta County","177161","30155","26,328 to 33,982","17","14.8 to 19.2"
"2017","06091","Sierra County","2956","404","310 to 498","13.7","10.5 to 16.9"
"2017","06093","Siskiyou County","43305","7679","6,512 to 8,846","17.7","15.0 to 20.4"
"2017","06095","Solano County","433708","43352","37,727 to 48,977","10","8.7 to 11.3"
"2017","06097","Sonoma County","495804","46165","40,215 to 52,115","9.3","8.1 to 10.5"
"2017","06099","Stanislaus County","542014","75614","66,699 to 84,529","14","12.4 to 15.6"
"2017","06101","Sutter County","95866","12628","10,279 to 14,977","13.2","10.7 to 15.7"
"2017","06103","Tehama County","63125","12718","10,881 to 14,555","20.1","17.2 to 23.0"
"2017","06105","Trinity County","12471","2529","1,983 to 3,075","20.3","15.9 to 24.7"
"2017","06107","Tulare County","459688","110299","101,815 to 118,783","24","22.2 to 25.8"
"2017","06109","Tuolumne County","50889","6205","4,841 to 7,569","12.2","9.5 to 14.9"
"2017","06111","Ventura County","842392","80217","71,799 to 88,635","9.5","8.5 to 10.5"
"2017","06113","Yolo County","209714","36761","33,639 to 39,883","17.5","16.0 to 19.0"
"2017","06115","Yuba County","75699","11609","9,392 to 13,826","15.3","12.4 to 18.2"
"2018","00000","United States","319184033","41852315","41,619,366 to 42,085,264","13.1","13.0 to 13.2"
"2018","06000","California","38818530","4972955","4,927,111 to 5,018,799","12.8","12.7 to 12.9"
"2018","06001","Alameda County","1638471","147394","137,363 to 157,425","9","8.4 to 9.6"
"2018","06003","Alpine County","1098","190","143 to 237","17.3","13.0 to 21.6"
"2018","06005","Amador County","35019","4130","3,311 to 4,949","11.8","9.5 to 14.1"
"2018","06007","Butte County","226520","42016","37,941 to 46,091","18.5","16.7 to 20.3"
"2018","06009","Calaveras County","45089","5454","4,231 to 6,677","12.1","9.4 to 14.8"
"2018","06011","Colusa County","21376","2350","1,844 to 2,856","11","8.6 to 13.4"
"2018","06013","Contra Costa County","1141226","88980","81,189 to 96,771","7.8","7.1 to 8.5"
"2018","06015","Del Norte County","24786","5065","3,937 to 6,193","20.4","15.9 to 24.9"
"2018","06017","El Dorado County","189457","15401","12,828 to 17,974","8.1","6.7 to 9.5"
"2018","06019","Fresno County","978257","208627","196,204 to 221,050","21.3","20.0 to 22.6"
"2018","06021","Glenn County","27704","4271","3,543 to 4,999","15.4","12.8 to 18.0"
"2018","06023","Humboldt County","132766","27002","23,919 to 30,085","20.3","18.0 to 22.6"
"2018","06025","Imperial County","172988","37014","31,562 to 42,466","21.4","18.2 to 24.6"
"2018","06027","Inyo County","17663","2172","1,701 to 2,643","12.3","9.6 to 15.0"
"2018","06029","Kern County","864837","177021","166,198 to 187,844","20.5","19.2 to 21.8"
"2018","06031","Kings County","135314","25481","21,602 to 29,360","18.8","15.9 to 21.7"
"2018","06033","Lake County","63452","11689","9,508 to 13,870","18.4","15.0 to 21.8"
"2018","06035","Lassen County","23193","3653","2,729 to 4,577","15.8","11.8 to 19.8"
"2018","06037","Los Angeles County","9951338","1409155","1,369,373 to 1,448,937","14.2","13.8 to 14.6"
"2018","06039","Madera County","149650","30201","26,194 to 34,208","20.2","17.5 to 22.9"
"2018","06041","Marin County","253013","16742","13,811 to 19,673","6.6","5.4 to 7.8"
"2018","06043","Mariposa County","17275","2569","2,000 to 3,138","14.9","11.6 to 18.2"
"2018","06045","Mendocino County","86362","15140","12,647 to 17,633","17.5","14.6 to 20.4"
"2018","06047","Merced County","268414","56863","50,845 to 62,881","21.2","19.0 to 23.4"
"2018","06049","Modoc County","8550","1631","1,263 to 1,999","19.1","14.8 to 23.4"
"2018","06051","Mono County","14048","1312","991 to 1,633","9.3","7.0 to 11.6"
"2018","06053","Monterey County","417611","55614","49,294 to 61,934","13.3","11.8 to 14.8"
"2018","06055","Napa County","135146","11829","10,092 to 13,566","8.8","7.5 to 10.1"
"2018","06057","Nevada County","98806","10171","8,319 to 12,023","10.3","8.4 to 12.2"
"2018","06059","Orange County","3144959","330559","311,256 to 349,862","10.5","9.9 to 11.1"
"2018","06061","Placer County","390257","27596","24,027 to 31,165","7.1","6.2 to 8.0"
"2018","06063","Plumas County","18490","2317","1,782 to 2,852","12.5","9.6 to 15.4"
"2018","06065","Riverside County","2417275","307511","290,062 to 324,960","12.7","12.0 to 13.4"
"2018","06067","Sacramento County","1522366","217138","203,030 to 231,246","14.3","13.4 to 15.2"
"2018","06069","San Benito County","61256","5294","4,068 to 6,520","8.6","6.6 to 10.6"
"2018","06071","San Bernardino County","2133532","317514","296,813 to 338,215","14.9","13.9 to 15.9"
"2018","06073","San Diego County","3246211","372148","352,204 to 392,092","11.5","10.9 to 12.1"
"2018","06075","San Francisco County","867735","87596","80,029 to 95,163","10.1","9.2 to 11.0"
"2018","06077","San Joaquin County","738904","105351","95,678 to 115,024","14.3","13.0 to 15.6"
"2018","06079","San Luis Obispo County","268478","34200","30,624 to 37,776","12.7","11.4 to 14.0"
"2018","06081","San Mateo County","763511","51830","46,093 to 57,567","6.8","6.0 to 7.6"
"2018","06083","Santa Barbara County","427549","54029","48,265 to 59,793","12.6","11.3 to 13.9"
"2018","06085","Santa Clara County","1911186","139074","127,269 to 150,879","7.3","6.7 to 7.9"
"2018","06087","Santa Cruz County","262380","32027","27,634 to 36,420","12.2","10.5 to 13.9"
"2018","06089","Shasta County","177344","26919","23,214 to 30,624","15.2","13.1 to 17.3"
"2018","06091","Sierra County","2945","392","297 to 487","13.3","10.1 to 16.5"
"2018","06093","Siskiyou County","43183","7396","6,100 to 8,692","17.1","14.1 to 20.1"
"2018","06095","Solano County","435455","34281","29,246 to 39,316","7.9","6.7 to 9.1"
"2018","06097","Sonoma County","491368","48846","43,330 to 54,362","9.9","8.8 to 11.0"
"2018","06099","Stanislaus County","544225","84744","76,383 to 93,105","15.6","14.1 to 17.1"
"2018","06101","Sutter County","96030","13011","10,536 to 15,486","13.5","10.9 to 16.1"
"2018","06103","Tehama County","63139","10749","9,000 to 12,498","17","14.2 to 19.8"
"2018","06105","Trinity County","12302","2656","2,140 to 3,172","21.6","17.4 to 25.8"
"2018","06107","Tulare County","460973","102451","94,562 to 110,340","22.2","20.5 to 23.9"
"2018","06109","Tuolumne County","51171","6417","5,173 to 7,661","12.5","10.1 to 14.9"
"2018","06111","Ventura County","839302","76206","68,312 to 84,100","9.1","8.2 to 10.0"
"2018","06113","Yolo County","210676","42311","39,406 to 45,216","20.1","18.7 to 21.5"
"2018","06115","Yuba County","76898","13256","11,047 to 15,465","17.2","14.3 to 20.1"
"2019","00000","United States","320118791","39490096","39,248,096 to 39,732,096","12.3","12.2 to 12.4"
"2019","06000","California","38733501","4560419","4,509,811 to 4,611,027","11.8","11.7 to 11.9"
"2019","06001","Alameda County","1640963","146315","135,008 to 157,622","8.9","8.2 to 9.6"
"2019","06003","Alpine County","1125","193","145 to 241","17.2","13.0 to 21.4"
